index,actual,predicted,set
122,94.54402,93.37296,train
123,89.09232,92.31581,train
124,90.95393,91.49014,train
125,89.10133,91.88093,train
126,89.83385,92.77623,train
127,92.474075,94.48842,train
128,101.05933,97.017685,train
129,100.918785,100.93848,train
130,104.11016,104.86781,train
131,110.73902,109.260376,train
132,113.665245,113.906296,train
133,120.01351,118.30598,train
134,118.48489,122.7693,train
135,126.68698,125.90941,train
136,130.85774,129.18503,train
137,128.83328,131.55193,train
138,133.9967,132.91405,train
139,137.12213,133.38722,train
140,133.59506,133.24915,train
141,133.91502,132.08232,train
142,131.97818,130.3445,train
143,125.80731,127.669014,train
144,123.76667,123.226746,train
145,116.71078,118.88257,train
146,114.58155,114.14379,train
147,112.14101,109.651825,train
148,108.389366,105.77254,train
149,102.60873,101.98837,train
150,99.93844,98.666405,train
151,93.67586,95.86496,train
152,92.81841,93.79334,train
153,91.36587,92.20826,train
154,95.05981,91.52553,train
155,91.0015,91.96116,train
156,91.7941,93.00205,train
157,94.767006,94.57789,train
158,95.883675,97.074295,train
159,101.24875,100.17396,train
160,104.057106,103.88124,train
161,105.97907,108.24094,train
162,113.55474,112.72022,train
163,117.48672,117.58176,train
164,119.08366,121.87787,train
165,126.06528,125.78014,train
166,132.21964,129.32646,train
167,132.427,132.15974,train
168,134.34946,133.66026,train
169,130.69754,134.18048,train
170,134.7595,133.41925,train
171,132.33447,132.75641,train
172,131.13737,130.31624,train
173,128.35062,127.73552,train
174,121.06955,124.212456,train
175,120.25717,119.47152,train
176,113.769714,115.019516,train
177,111.09384,110.05423,train
178,104.901184,105.94349,train
179,104.87053,102.115814,train
180,97.2177,99.15979,train
181,93.8298,96.529915,train
182,93.61398,94.11614,train
183,89.76518,92.678154,train
184,90.7551,91.75768,train
185,90.0248,91.96318,train
186,95.29196,92.83352,train
187,96.15638,95.065056,train
188,97.66766,97.78142,train
189,100.40738,101.15383,train
190,107.08764,104.87758,train
191,109.79751,109.24089,train
192,114.86278,113.478264,train
193,118.0573,117.8794,train
194,119.15591,121.88784,train
195,125.94571,125.35101,train
196,128.49199,128.82849,train
197,133.09755,131.40288,train
198,135.50677,133.13454,train
199,132.50388,133.67368,train
200,134.35007,132.84451,train
201,135.80734,131.67155,train
202,129.0157,129.99374,train
203,130.95094,127.03141,train
204,122.83365,123.6809,train
205,119.98957,119.257935,train
206,115.34738,114.61947,train
207,111.06374,110.00352,train
208,104.91456,105.7253,train
209,101.475624,101.5779,train
210,97.08418,98.22304,train
211,96.340324,95.36331,train
212,93.97106,93.381386,train
213,96.22344,92.21974,train
214,93.656265,92.11547,train
215,90.27144,92.1089,train
216,92.85564,93.11482,train
217,96.515526,94.73707,train
218,97.43318,97.78793,train
219,100.99072,101.243195,train
220,104.859886,105.15987,train
221,111.32119,109.07717,train
222,112.54974,113.76879,train
223,117.12535,118.10284,train
224,123.50981,122.03914,train
225,126.9873,126.14026,test
226,129.64922,129.45575,test
227,130.88922,131.72227,test
228,135.19835,132.90765,test
229,138.12967,133.55316,test
230,134.38498,133.6273,test
231,131.63274,132.3079,test
232,132.15494,130.03899,test
233,126.68395,127.62236,test
234,122.27128,123.34414,test
235,119.653244,118.67893,test
236,110.57334,114.036385,test
237,108.67539,109.35136,test
238,106.04537,105.09344,test
239,99.75101,101.6477,test
240,96.91242,98.16434,test
241,94.97077,95.308624,test
242,89.804535,93.40512,test
243,90.55552,91.60987,test
244,89.59734,91.24316,test
245,91.554,91.41716,test
246,94.57307,92.69178,test
247,94.86293,95.24891,test
248,97.40074,97.93238,test
249,101.21177,101.33116,test
250,105.01649,104.998184,test
251,107.40505,109.001274,test
252,113.774185,113.3592,test
253,118.9338,118.05459,test
254,119.64314,122.56233,test
255,127.95082,126.14781,test
256,131.59193,129.696,test
257,129.77223,132.26161,test
258,133.2928,132.91095,test
259,132.27753,133.77184,test
260,134.88506,133.31273,test
261,130.2179,132.28697,test
262,130.03386,130.06938,test
263,125.74544,127.14339,test
264,123.56823,122.96661,test
265,116.88189,118.35816,test
266,118.23395,113.946144,test
267,109.45308,109.54506,test
268,106.65259,105.3467,test
269,102.496666,101.48988,test
270,97.35219,98.52173,test
271,94.04723,95.62178,test
272,94.88335,93.30161,test
273,90.96501,92.13421,test
274,91.77841,91.58732,test
275,90.07307,91.9017,test
276,91.11053,92.46701,test
277,95.46886,94.259315,test
278,99.94449,97.039764,test
279,100.41036,100.69191,test
280,102.16795,104.18308,test
281,113.67147,108.22046,test
